billing_account_id,billing_account_name,cloud_id,cloud_name,folder_id,folder_name,service_id,service_name,sku_id,sku_name,date,currency,pricing_quantity,pricing_unit,cost,credit,monetary_grant_credit,volume_incentive_credit,cud_credit,misc_credit,label.user_labels.Category,label.user_labels.base_model,label.user_labels.billing,label.user_labels.billing-event,label.user_labels.billing_event,label.user_labels.channel_id,label.user_labels.cloud_id,label.user_labels.cluster_id,label.user_labels.community_id,label.user_labels.execution_mode,label.user_labels.execution_type,label.user_labels.folder_id,label.user_labels.instance_spec,label.user_labels.load-testing-agent,label.user_labels.load_testing_agent,label.user_labels.method,label.user_labels.model,label.user_labels.processing_type,label.user_labels.projects,label.user_labels.request_kind,label.user_labels.request_origin,label.user_labels.subcluster_id,label.user_labels.subcluster_role,label.user_labels.system-datasphere-project_id,label.user_labels.system-datasphere-resource_id,label.user_labels.voice,label.user_labels.x-client-prompt-id,label.user_labels.x-client-response-id,label.user_labels.yc.service.originproduct,locale,updated_at,exported_at
billing_account_id_0001,billing_account_name_0001,,,,,service_id_0001,Cloud Video,sku_id_0001,Cloud Video. Хранение оригинала видео,2026-01-15,RUB,331.541593632,gbyte*hour,0.270494856,-0.270494856,-0.270494856,0,0,0,,,,,,label_channel_id_0001,,,,,,,,,,,,,,,,,,,,,,,,ru,1768512489,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0001,cloud_name_0001,folder_id_0001,folder_name_0001,service_id_0002,Object Storage,sku_id_0002,Object Storage. Размещение данных в стандартном хранилище,2026-01-15,RUB,1.646449208,gbyte*hour,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768513170,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0002,cloud_name_0002,folder_id_0002,folder_name_0001,service_id_0003,Audit Trails,sku_id_0003,Audit Trails. Доставка событий уровня конфигурации,2026-01-15,RUB,0.00047,100k*event,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768506559,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0003,cloud_name_0003,folder_id_0003,folder_name_0001,service_id_0004,Virtual Private Cloud,sku_id_0004,Публичный IP-адрес (динамический или статический),2026-01-15,RUB,95.999999996,fip*hour,25.29792,-25.29792,-25.29792,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768511517,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,,,,,service_id_0001,Cloud Video,sku_id_0005,Cloud Video. Хранение потокового видео,2026-01-16,RUB,23.946049944,gbyte*hour,0.073400184,-0.073400184,-0.073400184,0,0,0,,,,,,label_channel_id_0002,,,,,,,,,,,,,,,,,,,,,,,,ru,1768598592,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0004,cloud_name_0004,folder_id_0004,folder_name_0002,service_id_0004,Virtual Private Cloud,sku_id_0004,Публичный IP-адрес (динамический или статический),2026-01-16,RUB,0.039166667,fip*hour,0.0103212,-0.0103212,-0.0103212,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768519836,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0002,cloud_name_0002,folder_id_0002,folder_name_0001,service_id_0004,Virtual Private Cloud,sku_id_0006,Входящий трафик в Object Storage из облачных сетей,2026-01-16,RUB,0.000022926,gbyte,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768595576,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0002,cloud_name_0002,folder_id_0005,folder_name_0003,service_id_0002,Object Storage,sku_id_0002,Object Storage. Размещение данных в стандартном хранилище,2026-01-16,RUB,0.00389076,gbyte*hour,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768599591,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0003,cloud_name_0003,folder_id_0003,folder_name_0001,service_id_0005,Key Management Service,sku_id_0007,Key Management Service. Использование одной версии симметричного ключа,2026-01-16,RUB,23.831388936,key_version*hour,0.10466746,-0.10466746,-0.10466746,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768598028,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0003,cloud_name_0003,folder_id_0003,folder_name_0001,service_id_0004,Virtual Private Cloud,sku_id_0008,Исходящий трафик,2026-01-16,RUB,0.018933701,gbyte,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768549728,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0003,cloud_name_0003,folder_id_0003,folder_name_0001,service_id_0006,Monitoring,sku_id_0009,Количество алертов,2026-01-16,RUB,288,alert,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768597082,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0003,cloud_name_0003,folder_id_0003,folder_name_0001,service_id_0007,Cloud DNS,sku_id_0010,Cloud DNS. Публичные DNS-запросы — рекурсивные запросы внешних имен,2026-01-16,RUB,0.000038,1m*request,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768547649,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0005,cloud_name_0005,folder_id_0006,folder_name_0001,service_id_0004,Virtual Private Cloud,sku_id_0011,Входящий трафик из интернета,2026-01-16,RUB,0.000000168,gbyte,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768576116,2026-02-15T06:10:00.7284+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0006,cloud_name_0006,folder_id_0007,folder_name_0001,service_id_0008,Managed Service for YDB,sku_id_0012,YDB Serverless. Хранение данных,2026-01-16,RUB,0.000001441,gbyte*hour,0,0,0,0,0,0,label_category_0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768597253,2026-02-15T06:10:00.7284+00:00
