billing_account_id,billing_account_name,cloud_id,cloud_name,folder_id,folder_name,resource_id,service_id,service_name,sku_id,sku_name,date,currency,pricing_quantity,pricing_unit,cost,credit,monetary_grant_credit,volume_incentive_credit,cud_credit,misc_credit,label.user_labels.Category,label.user_labels.base_model,label.user_labels.billing,label.user_labels.billing-event,label.user_labels.billing_event,label.user_labels.channel_id,label.user_labels.cloud_id,label.user_labels.cluster_id,label.user_labels.community_id,label.user_labels.execution_mode,label.user_labels.execution_type,label.user_labels.folder_id,label.user_labels.instance_spec,label.user_labels.load-testing-agent,label.user_labels.load_testing_agent,label.user_labels.method,label.user_labels.model,label.user_labels.processing_type,label.user_labels.projects,label.user_labels.request_kind,label.user_labels.request_origin,label.user_labels.subcluster_id,label.user_labels.subcluster_role,label.user_labels.system-datasphere-project_id,label.user_labels.system-datasphere-resource_id,label.user_labels.voice,label.user_labels.x-client-prompt-id,label.user_labels.x-client-response-id,label.user_labels.yc.service.originproduct,locale,updated_at,exported_at
billing_account_id_0001,billing_account_name_0001,,,,,resource_id_0001,service_id_0001,Cloud Video,sku_id_0027,Cloud Video. Хранение потокового Live видео,2026-01-15,RUB,4.306382866,gbyte*hour,0,0,0,0,0,0,,,,,,label_channel_id_0007,,,,,,,,,,,,,,,,,,,,,,,,ru,1768512489,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0001,cloud_name_0001,folder_id_0001,folder_name_0001,resource_id_0002,service_id_0004,Virtual Private Cloud,sku_id_0018,Исходящий трафик из Object Storage,2026-01-15,RUB,0.000014909,gbyte,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768478268,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0003,cloud_name_0003,folder_id_0003,folder_name_0001,resource_id_0003,service_id_0014,Container Registry,sku_id_0053,Container Registry. Последующее сканирование Docker-образа на наличие уязвимостей,2026-01-15,RUB,1,scan,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768506215,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0003,cloud_name_0003,folder_id_0003,folder_name_0001,resource_id_0004,service_id_0009,Compute Cloud,sku_id_0054,"Вычислительные ресурсы обычной ВМ, Intel Cascade Lake, RAM",2026-01-15,RUB,48,gbyte*hour,16.33824,-16.33824,-16.33824,0,0,0,,,,,,,,,,,,,,label_load_testing_agent_0001,label_load_testing_agent_0001,,,,,,,,,,,,,,,ru,1768511004,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0003,cloud_name_0003,folder_id_0003,folder_name_0001,resource_id_0005,service_id_0009,Compute Cloud,sku_id_0041,"Вычислительные ресурсы обычной ВМ, Intel Ice Lake, 100% vCPU",2026-01-15,RUB,48,core*hour,55.3392,-55.3392,-55.3392,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768510896,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,,,,,resource_id_0001,service_id_0001,Cloud Video,sku_id_0005,Cloud Video. Хранение потокового видео,2026-01-16,RUB,0.103291632,gbyte*hour,0.000316584,-0.000316584,-0.000316584,0,0,0,,,,,,label_channel_id_0003,,,,,,,,,,,,,,,,,,,,,,,,ru,1768598592,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,,,,,resource_id_0001,service_id_0001,Cloud Video,sku_id_0001,Cloud Video. Хранение оригинала видео,2026-01-16,RUB,46.459420704,gbyte*hour,0.037904832,-0.037904832,-0.037904832,0,0,0,,,,,,label_channel_id_0007,,,,,,,,,,,,,,,,,,,,,,,,ru,1768598576,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0004,cloud_name_0004,folder_id_0004,folder_name_0002,resource_id_0006,service_id_0004,Virtual Private Cloud,sku_id_0006,Входящий трафик в Object Storage из облачных сетей,2026-01-16,RUB,0.000022944,gbyte,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768595569,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0004,cloud_name_0004,folder_id_0004,folder_name_0002,resource_id_0006,service_id_0002,Object Storage,sku_id_0002,Object Storage. Размещение данных в стандартном хранилище,2026-01-16,RUB,0.030583353,gbyte*hour,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768599168,2026-02-15T06:10:33.027788+00:00
billing_account_id_0001,billing_account_name_0001,cloud_id_0004,cloud_name_0004,folder_id_0004,folder_name_0002,resource_id_0007,service_id_0004,Virtual Private Cloud,sku_id_0011,Входящий трафик из интернета,2026-01-16,RUB,0.000002925,gbyte,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ru,1768519415,2026-02-15T06:10:33.027788+00:00
